"","year","week","start","end","cases","period"
"109",2017,"4","2017-01-23","2017-01-29",1221,"2016/2017"
"110",2017,"5","2017-01-30","2017-02-05",1242,"2016/2017"
"111",2017,"6","2017-02-06","2017-02-12",947,"2016/2017"
"112",2017,"7","2017-02-13","2017-02-19",738,"2016/2017"
"113",2017,"8","2017-02-20","2017-02-26",721,"2016/2017"
"114",2017,"9","2017-02-27","2017-03-05",568,"2016/2017"
"115",2017,"10","2017-03-06","2017-03-12",379,"2016/2017"
"116",2017,"11","2017-03-13","2017-03-19",321,"2016/2017"
"117",2017,"12","2017-03-20","2017-03-26",279,"2016/2017"
"118",2017,"13","2017-03-27","2017-04-02",281,"2017/2018"
"119",2017,"14","2017-04-03","2017-04-09",236,"2017/2018"
"120",2017,"15","2017-04-10","2017-04-16",181,"2017/2018"
"121",2017,"16","2017-04-17","2017-04-23",187,"2017/2018"
"122",2017,"17","2017-04-24","2017-04-30",197,"2017/2018"
"123",2017,"18","2017-05-01","2017-05-07",196,"2017/2018"
"124",2017,"19","2017-05-08","2017-05-14",221,"2017/2018"
"125",2017,"20","2017-05-15","2017-05-21",155,"2017/2018"
"126",2017,"21","2017-05-22","2017-05-28",57,"2017/2018"
"127",2017,"22","2017-05-29","2017-06-04",43,"2017/2018"
"128",2017,"23","2017-06-05","2017-06-11",1,"2017/2018"
"129",2017,"24","2017-06-12","2017-06-18",3,"2017/2018"
"130",2017,"25","2017-06-19","2017-06-25",4,"2017/2018"
"131",2017,"26","2017-06-26","2017-07-02",2,"2017/2018"
"132",2017,"27","2017-07-03","2017-07-09",6,"2017/2018"
"133",2017,"28","2017-07-10","2017-07-16",1,"2017/2018"
"134",2017,"29","2017-07-17","2017-07-23",1,"2017/2018"
"135",2017,"30","2017-07-24","2017-07-30",3,"2017/2018"
"136",2017,"31","2017-07-31","2017-08-06",2,"2017/2018"
"137",2017,"32","2017-08-07","2017-08-13",1,"2017/2018"
"138",2017,"33","2017-08-14","2017-08-20",3,"2017/2018"
"139",2017,"34","2017-08-21","2017-08-27",4,"2017/2018"
"140",2017,"35","2017-08-28","2017-09-03",3,"2017/2018"
"141",2017,"36","2017-09-04","2017-09-10",3,"2017/2018"
"142",2017,"37","2017-09-11","2017-09-17",4,"2017/2018"
"143",2017,"38","2017-09-18","2017-09-24",0,"2017/2018"
"144",2017,"39","2017-09-25","2017-10-01",3,"2017/2018"
"145",2017,"40","2017-10-02","2017-10-08",64,"2017/2018"
"146",2017,"41","2017-10-09","2017-10-15",65,"2017/2018"
"147",2017,"42","2017-10-16","2017-10-22",55,"2017/2018"
"148",2017,"43","2017-10-23","2017-10-29",38,"2017/2018"
"149",2017,"44","2017-10-30","2017-11-05",50,"2017/2018"
"150",2017,"45","2017-11-06","2017-11-12",83,"2017/2018"
"151",2017,"46","2017-11-13","2017-11-19",133,"2017/2018"
"152",2017,"47","2017-11-20","2017-11-26",203,"2017/2018"
"153",2017,"48","2017-11-27","2017-12-03",240,"2017/2018"
"154",2017,"49","2017-12-04","2017-12-10",499,"2017/2018"
"155",2017,"50","2017-12-11","2017-12-17",953,"2017/2018"
"156",2017,"51","2017-12-18","2017-12-24",2210,"2017/2018"
"157",2017,"52","2017-12-25","2017-12-31",2776,"2017/2018"
"158",2018,"1","2018-01-01","2018-01-07",3858,"2017/2018"
"159",2018,"2","2018-01-08","2018-01-14",4107,"2017/2018"
"160",2018,"3","2018-01-15","2018-01-21",3792,"2017/2018"
"161",2018,"4","2018-01-22","2018-01-28",3607,"2017/2018"
"162",2018,"5","2018-01-29","2018-02-04",3169,"2017/2018"
"163",2018,"6","2018-02-05","2018-02-11",2663,"2017/2018"
"164",2018,"7","2018-02-12","2018-02-18",2810,"2017/2018"
"165",2018,"8","2018-02-19","2018-02-25",3344,"2017/2018"
"166",2018,"9","2018-02-26","2018-03-04",2384,"2017/2018"
"167",2018,"10","2018-03-05","2018-03-11",2637,"2017/2018"
"168",2018,"11","2018-03-12","2018-03-18",2154,"2017/2018"
"169",2018,"12","2018-03-19","2018-03-25",1725,"2017/2018"
"170",2018,"13","2018-03-26","2018-04-01",1321,"2018/2019"
"171",2018,"14","2018-04-02","2018-04-08",1135,"2018/2019"
"172",2018,"15","2018-04-09","2018-04-15",809,"2018/2019"
"173",2018,"16","2018-04-16","2018-04-22",402,"2018/2019"
"174",2018,"17","2018-04-23","2018-04-29",170,"2018/2019"
"175",2018,"18","2018-04-30","2018-05-06",101,"2018/2019"
"176",2018,"19","2018-05-07","2018-05-13",86,"2018/2019"
"177",2018,"20","2018-05-14","2018-05-20",64,"2018/2019"
"178",2018,"21","2018-05-21","2018-05-27",11,"2018/2019"
"179",2018,"22","2018-05-28","2018-06-03",12,"2018/2019"
"180",2018,"23","2018-06-04","2018-06-10",7,"2018/2019"
"181",2018,"24","2018-06-11","2018-06-17",7,"2018/2019"
"182",2018,"25","2018-06-18","2018-06-24",2,"2018/2019"
"183",2018,"26","2018-06-25","2018-07-01",2,"2018/2019"
"184",2018,"27","2018-07-02","2018-07-08",2,"2018/2019"
"185",2018,"28","2018-07-09","2018-07-15",3,"2018/2019"
"186",2018,"29","2018-07-16","2018-07-22",4,"2018/2019"
"187",2018,"30","2018-07-23","2018-07-29",0,"2018/2019"
"188",2018,"31","2018-07-30","2018-08-05",4,"2018/2019"
"189",2018,"32","2018-08-06","2018-08-12",2,"2018/2019"
"190",2018,"33","2018-08-13","2018-08-19",0,"2018/2019"
"191",2018,"34","2018-08-20","2018-08-26",3,"2018/2019"
"192",2018,"35","2018-08-27","2018-09-02",5,"2018/2019"
"193",2018,"36","2018-09-03","2018-09-09",8,"2018/2019"
"194",2018,"37","2018-09-10","2018-09-16",6,"2018/2019"
"195",2018,"38","2018-09-17","2018-09-23",6,"2018/2019"
"196",2018,"39","2018-09-24","2018-09-30",2,"2018/2019"
"197",2018,"40","2018-10-01","2018-10-07",29,"2018/2019"
"198",2018,"41","2018-10-08","2018-10-14",24,"2018/2019"
"199",2018,"42","2018-10-15","2018-10-21",40,"2018/2019"
"200",2018,"43","2018-10-22","2018-10-28",63,"2018/2019"
"201",2018,"44","2018-10-29","2018-11-04",95,"2018/2019"
"202",2018,"45","2018-11-05","2018-11-11",122,"2018/2019"
"203",2018,"46","2018-11-12","2018-11-18",137,"2018/2019"
"204",2018,"47","2018-11-19","2018-11-25",138,"2018/2019"
"205",2018,"48","2018-11-26","2018-12-02",243,"2018/2019"
"206",2018,"49","2018-12-03","2018-12-09",302,"2018/2019"
"207",2018,"50","2018-12-10","2018-12-16",403,"2018/2019"
"208",2018,"51","2018-12-17","2018-12-23",846,"2018/2019"
"209",2018,"52","2018-12-24","2018-12-30",1254,"2018/2019"
"210",2019,"1","2018-12-31","2019-01-06",1987,"2018/2019"
"211",2019,"2","2019-01-07","2019-01-13",2782,"2018/2019"
"212",2019,"3","2019-01-14","2019-01-20",2655,"2018/2019"
"213",2019,"4","2019-01-21","2019-01-27",3059,"2018/2019"
"214",2019,"5","2019-01-28","2019-02-03",3623,"2018/2019"
"215",2019,"6","2019-02-04","2019-02-10",4034,"2018/2019"
"216",2019,"7","2019-02-11","2019-02-17",3923,"2018/2019"
"217",2019,"8","2019-02-18","2019-02-24",2771,"2018/2019"
"218",2019,"9","2019-02-25","2019-03-03",1719,"2018/2019"
"219",2019,"10","2019-03-04","2019-03-10",1205,"2018/2019"
"220",2019,"11","2019-03-11","2019-03-17",900,"2018/2019"
"221",2019,"12","2019-03-18","2019-03-24",909,"2018/2019"
"222",2019,"13","2019-03-25","2019-03-31",639,"2019/2020"
"223",2019,"14","2019-04-01","2019-04-07",621,"2019/2020"
"224",2019,"15","2019-04-08","2019-04-14",575,"2019/2020"
"225",2019,"16","2019-04-15","2019-04-21",416,"2019/2020"
"226",2019,"17","2019-04-22","2019-04-28",406,"2019/2020"
"227",2019,"18","2019-04-29","2019-05-05",244,"2019/2020"
"228",2019,"19","2019-05-06","2019-05-12",122,"2019/2020"
"229",2019,"20","2019-05-13","2019-05-19",137,"2019/2020"
"230",2019,"21","2019-05-20","2019-05-26",35,"2019/2020"
"231",2019,"22","2019-05-27","2019-06-02",18,"2019/2020"
"232",2019,"23","2019-06-03","2019-06-09",17,"2019/2020"
"233",2019,"24","2019-06-10","2019-06-16",30,"2019/2020"
"234",2019,"25","2019-06-17","2019-06-23",13,"2019/2020"
"235",2019,"26","2019-06-24","2019-06-30",16,"2019/2020"
"236",2019,"27","2019-07-01","2019-07-07",11,"2019/2020"
"237",2019,"28","2019-07-08","2019-07-14",13,"2019/2020"
"238",2019,"29","2019-07-15","2019-07-21",9,"2019/2020"
"239",2019,"30","2019-07-22","2019-07-28",9,"2019/2020"
"240",2019,"31","2019-07-29","2019-08-04",16,"2019/2020"
"241",2019,"32","2019-08-05","2019-08-11",16,"2019/2020"
"242",2019,"33","2019-08-12","2019-08-18",20,"2019/2020"
"243",2019,"34","2019-08-19","2019-08-25",19,"2019/2020"
"244",2019,"35","2019-08-26","2019-09-01",14,"2019/2020"
"245",2019,"36","2019-09-02","2019-09-08",15,"2019/2020"
"246",2019,"37","2019-09-09","2019-09-15",29,"2019/2020"
"247",2019,"38","2019-09-16","2019-09-22",28,"2019/2020"
"248",2019,"39","2019-09-23","2019-09-29",25,"2019/2020"
"249",2019,"40","2019-09-30","2019-10-06",113,"2019/2020"
"250",2019,"41","2019-10-07","2019-10-13",143,"2019/2020"
"251",2019,"42","2019-10-14","2019-10-20",158,"2019/2020"
"252",2019,"43","2019-10-21","2019-10-27",228,"2019/2020"
"253",2019,"44","2019-10-28","2019-11-03",328,"2019/2020"
"254",2019,"45","2019-11-04","2019-11-10",298,"2019/2020"
"255",2019,"46","2019-11-11","2019-11-17",412,"2019/2020"
"256",2019,"47","2019-11-18","2019-11-24",1020,"2019/2020"
"257",2019,"48","2019-11-25","2019-12-01",1820,"2019/2020"
"258",2019,"49","2019-12-02","2019-12-08",1037,"2019/2020"
"259",2019,"50","2019-12-09","2019-12-15",1192,"2019/2020"
"260",2019,"51","2019-12-16","2019-12-22",1399,"2019/2020"
"261",2019,"52","2019-12-23","2019-12-29",1219,"2019/2020"
"262",2020,"1","2019-12-30","2020-01-05",3558,"2019/2020"
"263",2020,"2","2020-01-06","2020-01-12",2294,"2019/2020"
"264",2020,"3","2020-01-13","2020-01-19",1267,"2019/2020"
"265",2020,"4","2020-01-20","2020-01-26",836,"2019/2020"
"266",2020,"5","2020-01-27","2020-02-02",821,"2019/2020"
"267",2020,"6","2020-02-03","2020-02-09",739,"2019/2020"
"268",2020,"7","2020-02-10","2020-02-16",719,"2019/2020"
"269",2020,"8","2020-02-17","2020-02-23",707,"2019/2020"
"270",2020,"9","2020-02-24","2020-03-01",751,"2019/2020"
"271",2020,"10","2020-03-02","2020-03-08",805,"2019/2020"
"272",2020,"11","2020-03-09","2020-03-15",696,"2019/2020"
"273",2020,"12","2020-03-16","2020-03-22",502,"2019/2020"
"274",2020,"13","2020-03-23","2020-03-29",176,"2020/2021"
"275",2020,"14","2020-03-30","2020-04-05",85,"2020/2021"
"276",2020,"15","2020-04-06","2020-04-12",29,"2020/2021"
"277",2020,"16","2020-04-13","2020-04-19",8,"2020/2021"
"278",2020,"17","2020-04-20","2020-04-26",26,"2020/2021"
"279",2020,"18","2020-04-27","2020-05-03",3,"2020/2021"
"280",2020,"19","2020-05-04","2020-05-10",0,"2020/2021"
"281",2020,"20","2020-05-11","2020-05-17",1,"2020/2021"
"282",2020,"21","2020-05-18","2020-05-24",0,"2020/2021"
"283",2020,"22","2020-05-25","2020-05-31",1,"2020/2021"
"284",2020,"23","2020-06-01","2020-06-07",2,"2020/2021"
"285",2020,"24","2020-06-08","2020-06-14",0,"2020/2021"
"286",2020,"25","2020-06-15","2020-06-21",0,"2020/2021"
"287",2020,"26","2020-06-22","2020-06-28",0,"2020/2021"
"288",2020,"27","2020-06-29","2020-07-05",1,"2020/2021"
"289",2020,"28","2020-07-06","2020-07-12",0,"2020/2021"
"290",2020,"29","2020-07-13","2020-07-19",2,"2020/2021"
"291",2020,"30","2020-07-20","2020-07-26",0,"2020/2021"
"292",2020,"31","2020-07-27","2020-08-02",0,"2020/2021"
"293",2020,"32","2020-08-03","2020-08-09",2,"2020/2021"
"294",2020,"33","2020-08-10","2020-08-16",1,"2020/2021"
"295",2020,"34","2020-08-17","2020-08-23",1,"2020/2021"
"296",2020,"35","2020-08-24","2020-08-30",2,"2020/2021"
"297",2020,"36","2020-08-31","2020-09-06",1,"2020/2021"
"298",2020,"37","2020-09-07","2020-09-13",8,"2020/2021"
"299",2020,"38","2020-09-14","2020-09-20",2,"2020/2021"
"300",2020,"39","2020-09-21","2020-09-27",1,"2020/2021"
"301",2020,"40","2020-09-28","2020-10-04",20,"2020/2021"
"302",2020,"41","2020-10-05","2020-10-11",17,"2020/2021"
"303",2020,"42","2020-10-12","2020-10-18",26,"2020/2021"
"304",2020,"43","2020-10-19","2020-10-25",29,"2020/2021"
"305",2020,"44","2020-10-26","2020-11-01",18,"2020/2021"
"306",2020,"45","2020-11-02","2020-11-08",17,"2020/2021"
"307",2020,"46","2020-11-09","2020-11-15",44,"2020/2021"
"308",2020,"47","2020-11-16","2020-11-22",36,"2020/2021"
"309",2020,"48","2020-11-23","2020-11-29",36,"2020/2021"
"310",2020,"49","2020-11-30","2020-12-06",47,"2020/2021"
"311",2020,"50","2020-12-07","2020-12-13",25,"2020/2021"
"312",2020,"51","2020-12-14","2020-12-20",25,"2020/2021"
"313",2020,"52","2020-12-21","2020-12-27",23,"2020/2021"
"314",2020,"53","2020-12-28","2021-01-03",15,"2020/2021"
