"","year","week","start","end","cases"
"127",2017,22,"29/05/2017","04/06/2017",43
"128",2017,23,"05/06/2017","11/06/2017",1
"129",2017,24,"12/06/2017","18/06/2017",3
"130",2017,25,"19/06/2017","25/06/2017",4
"131",2017,26,"26/06/2017","02/07/2017",2
"132",2017,27,"03/07/2017","09/07/2017",6
"133",2017,28,"10/07/2017","16/07/2017",1
"134",2017,29,"17/07/2017","23/07/2017",1
"135",2017,30,"24/07/2017","30/07/2017",3
"136",2017,31,"31/07/2017","06/08/2017",2
"137",2017,32,"07/08/2017","13/08/2017",1
"138",2017,33,"14/08/2017","20/08/2017",3
"139",2017,34,"21/08/2017","27/08/2017",4
"140",2017,35,"28/08/2017","03/09/2017",3
"141",2017,36,"04/09/2017","10/09/2017",3
"142",2017,37,"11/09/2017","17/09/2017",4
"143",2017,38,"18/09/2017","24/09/2017",0
"144",2017,39,"25/09/2017","01/10/2017",3
"145",2017,40,"02/10/2017","08/10/2017",64
"146",2017,41,"09/10/2017","15/10/2017",65
"147",2017,42,"16/10/2017","22/10/2017",55
"148",2017,43,"23/10/2017","29/10/2017",38
"149",2017,44,"30/10/2017","05/11/2017",50
"150",2017,45,"06/11/2017","12/11/2017",83
"151",2017,46,"13/11/2017","19/11/2017",133
"152",2017,47,"20/11/2017","26/11/2017",203
"153",2017,48,"27/11/2017","03/12/2017",240
"154",2017,49,"04/12/2017","10/12/2017",499
"155",2017,50,"11/12/2017","17/12/2017",953
"156",2017,51,"18/12/2017","24/12/2017",2210
"157",2017,52,"25/12/2017","31/12/2017",2776
"158",2018,1,"01/01/2018","07/01/2018",3858
"159",2018,2,"08/01/2018","14/01/2018",4107
"160",2018,3,"15/01/2018","21/01/2018",3792
"161",2018,4,"22/01/2018","28/01/2018",3607
"162",2018,5,"29/01/2018","04/02/2018",3169
"163",2018,6,"05/02/2018","11/02/2018",2663
"164",2018,7,"12/02/2018","18/02/2018",2810
"165",2018,8,"19/02/2018","25/02/2018",3344
"166",2018,9,"26/02/2018","04/03/2018",2384
"167",2018,10,"05/03/2018","11/03/2018",2637
"168",2018,11,"12/03/2018","18/03/2018",2154
"169",2018,12,"19/03/2018","25/03/2018",1725
"170",2018,13,"26/03/2018","01/04/2018",1321
"171",2018,14,"02/04/2018","08/04/2018",1135
"172",2018,15,"09/04/2018","15/04/2018",809
"173",2018,16,"16/04/2018","22/04/2018",402
"174",2018,17,"23/04/2018","29/04/2018",170
"175",2018,18,"30/04/2018","06/05/2018",101
"176",2018,19,"07/05/2018","13/05/2018",86
"177",2018,20,"14/05/2018","20/05/2018",64
"178",2018,21,"21/05/2018","27/05/2018",11
"179",2018,22,"28/05/2018","03/06/2018",12
"180",2018,23,"04/06/2018","10/06/2018",7
"181",2018,24,"11/06/2018","17/06/2018",7
"182",2018,25,"18/06/2018","24/06/2018",2
"183",2018,26,"25/06/2018","01/07/2018",2
"184",2018,27,"02/07/2018","08/07/2018",2
"185",2018,28,"09/07/2018","15/07/2018",3
"186",2018,29,"16/07/2018","22/07/2018",4
"187",2018,30,"23/07/2018","29/07/2018",0
"188",2018,31,"30/07/2018","05/08/2018",4
"189",2018,32,"06/08/2018","12/08/2018",2
"190",2018,33,"13/08/2018","19/08/2018",0
"191",2018,34,"20/08/2018","26/08/2018",3
"192",2018,35,"27/08/2018","02/09/2018",5
"193",2018,36,"03/09/2018","09/09/2018",8
"194",2018,37,"10/09/2018","16/09/2018",6
"195",2018,38,"17/09/2018","23/09/2018",6
"196",2018,39,"24/09/2018","30/09/2018",2
"197",2018,40,"01/10/2018","07/10/2018",29
"198",2018,41,"08/10/2018","14/10/2018",24
"199",2018,42,"15/10/2018","21/10/2018",40
"200",2018,43,"22/10/2018","28/10/2018",63
"201",2018,44,"29/10/2018","04/11/2018",95
"202",2018,45,"05/11/2018","11/11/2018",122
"203",2018,46,"12/11/2018","18/11/2018",137
"204",2018,47,"19/11/2018","25/11/2018",138
"205",2018,48,"26/11/2018","02/12/2018",243
"206",2018,49,"03/12/2018","09/12/2018",302
"207",2018,50,"10/12/2018","16/12/2018",403
"208",2018,51,"17/12/2018","23/12/2018",846
"209",2018,52,"24/12/2018","30/12/2018",1254
"210",2019,1,"31/12/2018","06/01/2019",1987
"211",2019,2,"07/01/2019","13/01/2019",2782
"212",2019,3,"14/01/2019","20/01/2019",2655
"213",2019,4,"21/01/2019","27/01/2019",3059
"214",2019,5,"28/01/2019","03/02/2019",3623
"215",2019,6,"04/02/2019","10/02/2019",4034
"216",2019,7,"11/02/2019","17/02/2019",3923
"217",2019,8,"18/02/2019","24/02/2019",2771
"218",2019,9,"25/02/2019","03/03/2019",1719
"219",2019,10,"04/03/2019","10/03/2019",1205
"220",2019,11,"11/03/2019","17/03/2019",900
"221",2019,12,"18/03/2019","24/03/2019",909
"222",2019,13,"25/03/2019","31/03/2019",639
"223",2019,14,"01/04/2019","07/04/2019",621
"224",2019,15,"08/04/2019","14/04/2019",575
"225",2019,16,"15/04/2019","21/04/2019",416
"226",2019,17,"22/04/2019","28/04/2019",406
"227",2019,18,"29/04/2019","05/05/2019",244
"228",2019,19,"06/05/2019","12/05/2019",122
"229",2019,20,"13/05/2019","19/05/2019",137
"230",2019,21,"20/05/2019","26/05/2019",35
"231",2019,22,"27/05/2019","02/06/2019",18
"232",2019,23,"03/06/2019","09/06/2019",17
"233",2019,24,"10/06/2019","16/06/2019",30
"234",2019,25,"17/06/2019","23/06/2019",13
"235",2019,26,"24/06/2019","30/06/2019",16
"236",2019,27,"01/07/2019","07/07/2019",11
"237",2019,28,"08/07/2019","14/07/2019",13
"238",2019,29,"15/07/2019","21/07/2019",9
"239",2019,30,"22/07/2019","28/07/2019",9
"240",2019,31,"29/07/2019","04/08/2019",16
"241",2019,32,"05/08/2019","11/08/2019",16
"242",2019,33,"12/08/2019","18/08/2019",20
"243",2019,34,"19/08/2019","25/08/2019",19
"244",2019,35,"26/08/2019","01/09/2019",14
"245",2019,36,"02/09/2019","08/09/2019",15
"246",2019,37,"09/09/2019","15/09/2019",29
"247",2019,38,"16/09/2019","22/09/2019",28
"248",2019,39,"23/09/2019","29/09/2019",25
"249",2019,40,"30/09/2019","06/10/2019",113
"250",2019,41,"07/10/2019","13/10/2019",143
"251",2019,42,"14/10/2019","20/10/2019",158
"252",2019,43,"21/10/2019","27/10/2019",228
"253",2019,44,"28/10/2019","03/11/2019",328
"254",2019,45,"04/11/2019","10/11/2019",298
"255",2019,46,"11/11/2019","17/11/2019",412
"256",2019,47,"18/11/2019","24/11/2019",1020
"257",2019,48,"25/11/2019","01/12/2019",1820
"258",2019,49,"02/12/2019","08/12/2019",1037
"259",2019,50,"09/12/2019","15/12/2019",1192
"260",2019,51,"16/12/2019","22/12/2019",1399
"261",2019,52,"23/12/2019","29/12/2019",1219
"262",2020,1,"30/12/2019","05/01/2020",3558
"263",2020,2,"06/01/2020","12/01/2020",2294
"264",2020,3,"13/01/2020","19/01/2020",1267
"265",2020,4,"20/01/2020","26/01/2020",836
"266",2020,5,"27/01/2020","02/02/2020",821
"267",2020,6,"03/02/2020","09/02/2020",739
"268",2020,7,"10/02/2020","16/02/2020",719
"269",2020,8,"17/02/2020","23/02/2020",707
"270",2020,9,"24/02/2020","01/03/2020",751
"271",2020,10,"02/03/2020","08/03/2020",805
"272",2020,11,"09/03/2020","15/03/2020",696
"273",2020,12,"16/03/2020","22/03/2020",502
"274",2020,13,"23/03/2020","29/03/2020",176
"275",2020,14,"30/03/2020","05/04/2020",85
"276",2020,15,"06/04/2020","12/04/2020",29
"277",2020,16,"13/04/2020","19/04/2020",8
"278",2020,17,"20/04/2020","26/04/2020",26
"279",2020,18,"27/04/2020","03/05/2020",3
"280",2020,19,"04/05/2020","10/05/2020",0
"281",2020,20,"11/05/2020","17/05/2020",1
"282",2020,21,"18/05/2020","24/05/2020",0
"283",2020,22,"25/05/2020","31/05/2020",1
"284",2020,23,"01/06/2020","07/06/2020",2
"285",2020,24,"08/06/2020","14/06/2020",0
"286",2020,25,"15/06/2020","21/06/2020",0
"287",2020,26,"22/06/2020","28/06/2020",0
"288",2020,27,"29/06/2020","05/07/2020",1
"289",2020,28,"06/07/2020","12/07/2020",0
"290",2020,29,"13/07/2020","19/07/2020",2
"291",2020,30,"20/07/2020","26/07/2020",0
"292",2020,31,"27/07/2020","02/08/2020",0
"293",2020,32,"03/08/2020","09/08/2020",2
"294",2020,33,"10/08/2020","16/08/2020",1
"295",2020,34,"17/08/2020","23/08/2020",1
"296",2020,35,"24/08/2020","30/08/2020",2
"297",2020,36,"31/08/2020","06/09/2020",1
"298",2020,37,"07/09/2020","13/09/2020",8
"299",2020,38,"14/09/2020","20/09/2020",2
"300",2020,39,"21/09/2020","27/09/2020",1
"301",2020,40,"28/09/2020","04/10/2020",20
"302",2020,41,"05/10/2020","11/10/2020",17
"303",2020,42,"12/10/2020","18/10/2020",26
"304",2020,43,"19/10/2020","25/10/2020",29
"305",2020,44,"26/10/2020","01/11/2020",18
"306",2020,45,"02/11/2020","08/11/2020",17
"307",2020,46,"09/11/2020","15/11/2020",44
"308",2020,47,"16/11/2020","22/11/2020",36
"309",2020,48,"23/11/2020","29/11/2020",36
"310",2020,49,"30/11/2020","06/12/2020",47
"311",2020,50,"07/12/2020","13/12/2020",25
"312",2020,51,"14/12/2020","20/12/2020",25
"313",2020,52,"21/12/2020","27/12/2020",23
"314",2020,53,"28/12/2020","03/01/2021",15
"315",2021,1,"04/01/2021","10/01/2021",23
"316",2021,2,"11/01/2021","17/01/2021",12
"317",2021,3,"18/01/2021","24/01/2021",13
"318",2021,4,"25/01/2021","31/01/2021",12
"319",2021,5,"01/02/2021","07/02/2021",17
"320",2021,6,"08/02/2021","14/02/2021",15
"321",2021,7,"15/02/2021","21/02/2021",20
"322",2021,8,"22/02/2021","28/02/2021",6
"323",2021,9,"01/03/2021","07/03/2021",10
"324",2021,10,"08/03/2021","14/03/2021",7
"325",2021,11,"15/03/2021","21/03/2021",14
"326",2021,12,"22/03/2021","28/03/2021",2
"327",2021,13,"29/03/2021","04/04/2021",3
"328",2021,14,"05/04/2021","11/04/2021",8
"329",2021,15,"12/04/2021","18/04/2021",11
"330",2021,16,"19/04/2021","25/04/2021",16
"331",2021,17,"26/04/2021","02/05/2021",3
"332",2021,18,"03/05/2021","09/05/2021",7
